,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,model_params,noise_info,repeat_num
0,Cora,GNN,feature_noise__noiselvl-0,edge_index,0.79,"0.79,0.789,0.791,0.796,0.786",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
1,Cora,GNN,feature_noise__noiselvl-0.01,edge_index,0.768,"0.782,0.762,0.736,0.789,0.77",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
2,Cora,GNN,feature_noise__noiselvl-0.05,edge_index,0.722,"0.738,0.716,0.714,0.73,0.713",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
3,Cora,GNN,feature_noise__noiselvl-0.1,edge_index,0.591,"0.61,0.576,0.559,0.56,0.65",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
4,Cora,GNN,feature_noise__noiselvl-0.15,edge_index,0.632,"0.634,0.61,0.683,0.605,0.628",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
5,Cora,GNN,feature_noise__noiselvl-0.3,edge_index,0.246,"0.237,0.194,0.262,0.273,0.264",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
6,Cora,GNN,feature_noise__noiselvl-0.45,edge_index,0.173,"0.217,0.086,0.194,0.191,0.177",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
7,Cora,GNN,feature_noise__noiselvl-0.6,edge_index,0.091,"0.091,0.091,0.091,0.091,0.091",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
8,Cora,GNN,feature_noise__noiselvl-0.9,edge_index,0.064,"0.064,0.064,0.064,0.064,0.064",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
9,Cora,GNN,feature_noise__noiselvl-0.95,edge_index,0.221,"0.312,0.196,0.133,0.319,0.147",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
10,Cora,GNN,feature_noise__noiselvl-0.99,edge_index,0.223,"0.251,0.212,0.13,0.204,0.319",25,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'data': Data(x=[2708, 1433], edge_index=[2, 10556], y=[2708], train_mask=[2708], val_mask=[2708], test_mask=[2708], edge_index_added_n_0.15=[2, 12138], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-135_noiselvl-0.01=[2, 10290], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-271_noiselvl-0.01=[2, 10018], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0=[2, 10556], edge_removal_nodes_choose_type-random_bidirec-True_knodes-542_noiselvl-0.01=[2, 9510], feature_noise__noiselvl-0=[2708, 1433], feature_noise__noiselvl-0.01=[2708, 1433], feature_noise__noiselvl-0.05=[2708, 1433], feature_noise__noiselvl-0.1=[2708, 1433], feature_noise__noiselvl-0.15=[2708, 1433], feature_noise__noiselvl-0.3=[2708, 1433], feature_noise__noiselvl-0.45=[2708, 1433], feature_noise__noiselvl-0.6=[2708, 1433], feature_noise__noiselvl-0.9=[2708, 1433], feature_noise__noiselvl-0.95=[2708, 1433], feature_noise__noiselvl-0.99=[2708, 1433], feature_noise__noiselvl-1=[2708, 1433], edge_removal_all_edges__noiselvl-0=[2, 10556], edge_removal_all_edges__noiselvl-0.01=[2, 10450], edge_removal_all_edges__noiselvl-0.05=[2, 10032], edge_removal_all_edges__noiselvl-0.1=[2, 9528], edge_removal_all_edges__noiselvl-0.15=[2, 9016], edge_removal_all_edges__noiselvl-0.3=[2, 7590], edge_removal_all_edges__noiselvl-0.45=[2, 6328], edge_removal_all_edges__noiselvl-0.6=[2, 5144], edge_removal_all_edges__noiselvl-0.9=[2, 3148], edge_removal_all_edges__noiselvl-0.95=[2, 2906], edge_removal_all_edges__noiselvl-0.99=[2, 2726], edge_removal_all_edges__noiselvl-1=[2, 2562]), 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",5
